Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids,,,,,,,,,,,
July 2016 First Open Bidding Exercise,07/07/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,222","$52,301","3,194","2,212",,,,,,,,,,,
July 2016 First Open Bidding Exercise,07/07/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,469","$56,089","2,547","1,469",,,,,,,,,,,
July 2016 First Open Bidding Exercise,07/07/2016,2016,Cat D (Motorcycles),409,"$6,012",525,365,,,,,,,,,,,
July 2016 First Open Bidding Exercise,07/07/2016,2016,Cat C (Goods vehicles and buses),237,"$47,889",310,235,,,,,,,,,,,
July 2016 First Open Bidding Exercise,07/07/2016,2016,Cat E (Open),517,"$56,002",750,517,,,,,,,,,,,
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,252","$55,200","3,957","2,197",,,,,,,,,,,
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,463","$57,010","2,914","1,462",,,,,,,,,,,
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat D (Motorcycles),422,"$6,303",495,389,,,,,,,,,,,
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat C (Goods vehicles and buses),228,"$48,002",342,226,,,,,,,,,,,
June 2016 Second Open Bidding Exercise,22/06/2016,2016,Cat E (Open),538,"$57,390","1,009",531,,,,,,,,,,,
June 2016 First Open Bidding Exercise,08/06/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,218","$53,694","4,545","2,213",,,,,,,,,,,
June 2016 First Open Bidding Exercise,08/06/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,470","$56,000","3,436","1,463",,,,,,,,,,,
June 2016 First Open Bidding Exercise,08/06/2016,2016,Cat D (Motorcycles),407,"$6,302",529,395,,,,,,,,,,,
June 2016 First Open Bidding Exercise,08/06/2016,2016,Cat C (Goods vehicles and buses),228,"$46,434",347,219,,,,,,,,,,,
June 2016 First Open Bidding Exercise,08/06/2016,2016,Cat E (Open),536,"$55,100",860,533,,,,,,,,,,,
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,217","$47,020","3,227","2,182",,,,,,,,,,,
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,537","$49,156","2,322","1,536",,,,,,,,,,,
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat D (Motorcycles),414,"$6,303",500,389,,,,,,,,,,,
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat C (Goods vehicles and buses),229,"$43,002",355,229,,,,,,,,,,,
May 2016 Second Open Bidding Exercise,18/05/2016,2016,Cat E (Open),534,"$49,700",815,510,,,,,,,,,,,
May 2016 First Open Bidding Exercise,05/05/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,218","$47,889","3,446","2,217",,,,,,,,,,,
May 2016 First Open Bidding Exercise,05/05/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,462","$51,010","2,435","1,454",,,,,,,,,,,
May 2016 First Open Bidding Exercise,05/05/2016,2016,Cat D (Motorcycles),399,"$6,302",519,389,,,,,,,,,,,
May 2016 First Open Bidding Exercise,05/05/2016,2016,Cat C (Goods vehicles and buses),232,"$42,302",324,232,,,,,,,,,,,
May 2016 First Open Bidding Exercise,05/05/2016,2016,Cat E (Open),750,"$49,000","1,380",728,,,,,,,,,,,
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,062","$47,300","3,327","2,061",,,,,,,,,,,
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,211","$49,602","2,364","1,136",,,,,,,,,,,
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat D (Motorcycles),357,"$6,501",437,341,,,,,,,,,,,
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat C (Goods vehicles and buses),163,"$43,002",241,162,,,,,,,,,,,
April 2016 Second Open Bidding Exercise,20/04/2016,2016,Cat E (Open),453,"$49,501",834,433,,,,,,,,,,,
April 2016 First Open Bidding Exercise,06/04/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,105","$46,009","3,719","2,103",,,,,,,,,,,
April 2016 First Open Bidding Exercise,06/04/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,218","$47,000","2,247","1,218",,,,,,,,,,,
April 2016 First Open Bidding Exercise,06/04/2016,2016,Cat D (Motorcycles),357,"$6,503",455,356,,,,,,,,,,,
April 2016 First Open Bidding Exercise,06/04/2016,2016,Cat C (Goods vehicles and buses),164,"$44,213",235,161,,,,,,,,,,,
April 2016 First Open Bidding Exercise,06/04/2016,2016,Cat E (Open),583,"$47,510","1,397",346,,,,,,,,,,,
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,053","$45,504","3,836","2,020",,,,,,,,,,,
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,220","$46,502","2,491","1,218",,,,,,,,,,,
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat D (Motorcycles),357,"$6,589",429,356,,,,,,,,,,,
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat C (Goods vehicles and buses),167,"$46,502",226,166,,,,,,,,,,,
March 2016 Second Open Bidding Exercise,23/03/2016,2016,Cat E (Open),452,"$46,667",912,445,,,,,,,,,,,
March 2016 First Open Bidding Exercise,09/03/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,033","$45,000","3,518","1,957",,,,,,,,,,,
March 2016 First Open Bidding Exercise,09/03/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,209","$47,604","2,706","1,200",,,,,,,,,,,
March 2016 First Open Bidding Exercise,09/03/2016,2016,Cat D (Motorcycles),357,"$6,503",430,356,,,,,,,,,,,
March 2016 First Open Bidding Exercise,09/03/2016,2016,Cat C (Goods vehicles and buses),162,"$48,890",259,160,,,,,,,,,,,
March 2016 First Open Bidding Exercise,09/03/2016,2016,Cat E (Open),449,"$48,002",951,312,,,,,,,,,,,
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,049","$43,000","2,965","2,025",,,,,,,,,,,
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,208","$46,970","2,898","1,197",,,,,,,,,,,
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat D (Motorcycles),362,"$6,353",454,361,,,,,,,,,,,
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat C (Goods vehicles and buses),165,"$45,001",239,160,,,,,,,,,,,
February 2016 Second Open Bidding Exercise,17/02/2016,2016,Cat E (Open),456,"$45,009",873,450,,,,,,,,,,,
February 2016 First Open Bidding Exercise,03/02/2016,2016,Cat A (Cars up to 1600cc and 97kW),"2,038","$46,651","2,972","2,033",,,,,,,,,,,
February 2016 First Open Bidding Exercise,03/02/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,216","$38,610","1,624","1,216",,,,,,,,,,,
February 2016 First Open Bidding Exercise,03/02/2016,2016,Cat D (Motorcycles),368,"$6,503",495,368,,,,,,,,,,,
February 2016 First Open Bidding Exercise,03/02/2016,2016,Cat C (Goods vehicles and buses),164,"$45,036",229,164,,,,,,,,,,,
February 2016 First Open Bidding Exercise,03/02/2016,2016,Cat E (Open),446,"$44,001",824,443,,,,,,,,,,,
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,659","$51,301","3,437","1,638",,,,,,,,,,,
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,026","$50,089","1,334","1,026",,,,,,,,,,,
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat D (Motorcycles),327,"$6,512",415,322,,,,,,,,,,,
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat C (Goods vehicles and buses),242,"$46,502",387,239,,,,,,,,,,,
January 2016 Second Open Bidding Exercise,20/01/2016,2016,Cat E (Open),360,"$51,000",713,350,,,,,,,,,,,
January 2016 First Open Bidding Exercise,06/01/2016,2016,Cat A (Cars up to 1600cc and 97kW),"1,659","$45,002","2,013","1,649",,,,,,,,,,,
January 2016 First Open Bidding Exercise,06/01/2016,2016,Cat B (Cars above 1600cc or 97kW),"1,027","$54,920","1,262","1,019",,,,,,,,,,,
January 2016 First Open Bidding Exercise,06/01/2016,2016,Cat D (Motorcycles),328,"$6,889",409,317,,,,,,,,,,,
January 2016 First Open Bidding Exercise,06/01/2016,2016,Cat C (Goods vehicles and buses),246,"$42,036",353,245,,,,,,,,,,,
January 2016 First Open Bidding Exercise,06/01/2016,2016,Cat E (Open),362,"$55,089",498,361,,,,,,,,,,,
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,669","$54,301","1,978","1,667",,,,,,,,,,,
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,027","$55,001","1,200","1,025",,,,,,,,,,,
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat D (Motorcycles),332,"$6,600",394,332,,,,,,,,,,,
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat C (Goods vehicles and buses),244,"$46,001",311,243,,,,,,,,,,,
December 2015 Second Open Bidding Exercise,23/12/2015,2015,Cat E (Open),360,"$57,501",512,360,,,,,,,,,,,
December 2015 First Open Bidding Exercise,09/12/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,698","$56,989","2,132","1,696",,,,,,,,,,,
December 2015 First Open Bidding Exercise,09/12/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,031","$60,001","1,324","1,028",,,,,,,,,,,
December 2015 First Open Bidding Exercise,09/12/2015,2015,Cat D (Motorcycles),355,"$6,501",414,354,,,,,,,,,,,
December 2015 First Open Bidding Exercise,09/12/2015,2015,Cat C (Goods vehicles and buses),241,"$48,101",345,236,,,,,,,,,,,
December 2015 First Open Bidding Exercise,09/12/2015,2015,Cat E (Open),364,"$60,003",495,362,,,,,,,,,,,
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,662","$59,200","2,140","1,650",,,,,,,,,,,
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,029","$61,103","1,388","1,026",,,,,,,,,,,
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat D (Motorcycles),329,"$6,502",436,324,,,,,,,,,,,
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat C (Goods vehicles and buses),247,"$45,890",389,244,,,,,,,,,,,
November 2015 Second Open Bidding Exercise,18/11/2015,2015,Cat E (Open),365,"$62,019",519,365,,,,,,,,,,,
November 2015 First Open Bidding Exercise,04/11/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,664","$56,001","2,009","1,623",,,,,,,,,,,
November 2015 First Open Bidding Exercise,04/11/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,037","$57,501","1,267","1,031",,,,,,,,,,,
November 2015 First Open Bidding Exercise,04/11/2015,2015,Cat D (Motorcycles),329,"$5,912",402,301,,,,,,,,,,,
November 2015 First Open Bidding Exercise,04/11/2015,2015,Cat C (Goods vehicles and buses),241,"$43,809",372,240,,,,,,,,,,,
November 2015 First Open Bidding Exercise,04/11/2015,2015,Cat E (Open),367,"$60,689",505,363,,,,,,,,,,,
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,690","$57,301","2,229","1,684",,,,,,,,,,,
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,073","$59,889","1,367","1,069",,,,,,,,,,,
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat D (Motorcycles),355,"$6,302",430,353,,,,,,,,,,,
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat C (Goods vehicles and buses),192,"$42,303",340,186,,,,,,,,,,,
October 2015 Second Open Bidding Exercise,21/10/2015,2015,Cat E (Open),361,"$60,000",584,356,,,,,,,,,,,
October 2015 First Open Bidding Exercise,07/10/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,687","$56,001","2,210","1,679",,,,,,,,,,,
October 2015 First Open Bidding Exercise,07/10/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,057","$58,190","1,373","1,044",,,,,,,,,,,
October 2015 First Open Bidding Exercise,07/10/2015,2015,Cat D (Motorcycles),400,"$6,201",438,398,,,,,,,,,,,
October 2015 First Open Bidding Exercise,07/10/2015,2015,Cat C (Goods vehicles and buses),182,"$44,890",331,181,,,,,,,,,,,
October 2015 First Open Bidding Exercise,07/10/2015,2015,Cat E (Open),366,"$58,801",582,360,,,,,,,,,,,
September 2015 Second Open Bidding Exercise,23/09/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,687","$55,399","2,276","1,684",,,,,,,,,,,
September 2015 Second Open Bidding Exercise,23/09/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,058","$60,001","1,371","1,041",,,,,,,,,,,
September 2015 Second Open Bidding Exercise,23/09/2015,2015,Cat D (Motorcycles),402,"$6,158",509,402,,,,,,,,,,,
September 2015 Second Open Bidding Exercise,23/09/2015,2015,Cat C (Goods vehicles and buses),182,"$45,289",356,172,,,,,,,,,,,
September 2015 Second Open Bidding Exercise,23/09/2015,2015,Cat E (Open),368,"$61,300",542,368,,,,,,,,,,,
September 2015 First Open Bidding Exercise,09/09/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,688","$57,089","2,553","1,688",,,,,,,,,,,
September 2015 First Open Bidding Exercise,09/09/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,059","$62,101","1,628","1,058",,,,,,,,,,,
September 2015 First Open Bidding Exercise,09/09/2015,2015,Cat D (Motorcycles),355,"$6,512",473,310,,,,,,,,,,,
September 2015 First Open Bidding Exercise,09/09/2015,2015,Cat C (Goods vehicles and buses),182,"$46,801",371,182,,,,,,,,,,,
September 2015 First Open Bidding Exercise,09/09/2015,2015,Cat E (Open),363,"$61,010",580,358,,,,,,,,,,,
August 2015 Second Open Bidding Exercise,19/08/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,756","$57,498","2,597","1,756",,,,,,,,,,,
August 2015 Second Open Bidding Exercise,19/08/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,058","$62,140","1,551","1,056",,,,,,,,,,,
August 2015 Second Open Bidding Exercise,19/08/2015,2015,Cat D (Motorcycles),366,"$6,112",527,319,,,,,,,,,,,
August 2015 Second Open Bidding Exercise,19/08/2015,2015,Cat C (Goods vehicles and buses),182,"$46,501",282,182,,,,,,,,,,,
August 2015 Second Open Bidding Exercise,19/08/2015,2015,Cat E (Open),363,"$61,001",609,356,,,,,,,,,,,
August 2015 First Open Bidding Exercise,05/08/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,688","$56,209","2,446","1,687",,,,,,,,,,,
August 2015 First Open Bidding Exercise,05/08/2015,2015,Cat B (Cars above 1600cc or 97kW),"1,057","$60,789","1,634","1,054",,,,,,,,,,,
August 2015 First Open Bidding Exercise,05/08/2015,2015,Cat D (Motorcycles),356,"$6,201",418,356,,,,,,,,,,,
August 2015 First Open Bidding Exercise,05/08/2015,2015,Cat C (Goods vehicles and buses),183,"$49,302",263,183,,,,,,,,,,,
August 2015 First Open Bidding Exercise,05/08/2015,2015,Cat E (Open),363,"$57,885",607,361,,,,,,,,,,,
July 2015 Second Open Bidding Exercise,22/07/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,435","$55,889","1,966","1,365",,,,,,,,,,,
July 2015 Second Open Bidding Exercise,22/07/2015,2015,Cat B (Cars above 1600cc or 97kW),930,"$58,109","1,218",929,,,,,,,,,,,
July 2015 Second Open Bidding Exercise,22/07/2015,2015,Cat D (Motorcycles),331,"$6,312",486,320,,,,,,,,,,,
July 2015 Second Open Bidding Exercise,22/07/2015,2015,Cat C (Goods vehicles and buses),371,"$50,002",455,371,,,,,,,,,,,
July 2015 Second Open Bidding Exercise,22/07/2015,2015,Cat E (Open),272,"$60,101",441,270,,,,,,,,,,,
July 2015 First Open Bidding Exercise,08/07/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,466","$58,700","1,891","1,464",,,,,,,,,,,
July 2015 First Open Bidding Exercise,08/07/2015,2015,Cat B (Cars above 1600cc or 97kW),934,"$65,501","1,225",933,,,,,,,,,,,
July 2015 First Open Bidding Exercise,08/07/2015,2015,Cat D (Motorcycles),330,"$6,508",425,328,,,,,,,,,,,
July 2015 First Open Bidding Exercise,08/07/2015,2015,Cat C (Goods vehicles and buses),370,"$50,001",476,370,,,,,,,,,,,
July 2015 First Open Bidding Exercise,08/07/2015,2015,Cat E (Open),274,"$69,001",411,272,,,,,,,,,,,
June 2015 Second Open Bidding Exercise,17/06/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,429","$61,000","1,766","1,421",,,,,,,,,,,
June 2015 Second Open Bidding Exercise,17/06/2015,2015,Cat B (Cars above 1600cc or 97kW),928,"$71,509","1,144",926,,,,,,,,,,,
June 2015 Second Open Bidding Exercise,17/06/2015,2015,Cat D (Motorcycles),363,"$6,401",448,359,,,,,,,,,,,
June 2015 Second Open Bidding Exercise,17/06/2015,2015,Cat C (Goods vehicles and buses),373,"$50,502",481,370,,,,,,,,,,,
June 2015 Second Open Bidding Exercise,17/06/2015,2015,Cat E (Open),272,"$74,501",373,269,,,,,,,,,,,
June 2015 First Open Bidding Exercise,04/06/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,432","$66,000","1,943","1,393",,,,,,,,,,,
June 2015 First Open Bidding Exercise,04/06/2015,2015,Cat B (Cars above 1600cc or 97kW),929,"$75,000","1,384",923,,,,,,,,,,,
June 2015 First Open Bidding Exercise,04/06/2015,2015,Cat D (Motorcycles),339,"$6,509",430,336,,,,,,,,,,,
June 2015 First Open Bidding Exercise,04/06/2015,2015,Cat C (Goods vehicles and buses),371,"$50,900",508,369,,,,,,,,,,,
June 2015 First Open Bidding Exercise,04/06/2015,2015,Cat E (Open),272,"$75,801",392,267,,,,,,,,,,,
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,434","$66,590","2,351","1,431",,,,,,,,,,,
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat B (Cars above 1600cc or 97kW),948,"$75,002","1,401",948,,,,,,,,,,,
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat D (Motorcycles),334,"$6,501",433,298,,,,,,,,,,,
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat C (Goods vehicles and buses),370,"$52,001",546,365,,,,,,,,,,,
May 2015 Second Open Bidding Exercise,20/05/2015,2015,Cat E (Open),283,"$78,001",364,281,,,,,,,,,,,
May 2015 First Open Bidding Exercise,06/05/2015,2015,Cat A (Cars up to 1600cc and 97kW),"1,444","$68,589","2,891","1,438",,,,,,,,,,,
May 2015 First Open Bidding Exercise,06/05/2015,2015,Cat B (Cars above 1600cc or 97kW),934,"$77,600","1,631",934,,,,,,,,,,,
May 2015 First Open Bidding Exercise,06/05/2015,2015,Cat D (Motorcycles),334,"$6,512",462,321,,,,,,,,,,,
May 2015 First Open Bidding Exercise,06/05/2015,2015,Cat C (Goods vehicles and buses),373,"$50,098",545,370,,,,,,,,,,,
May 2015 First Open Bidding Exercise,06/05/2015,2015,Cat E (Open),292,"$78,004",445,290,,,,,,,,,,,
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,"$67,601","2,055",979,,,,,,,,,,,
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat B (Cars above 1600cc or 97kW),728,"$78,001","1,525",708,,,,,,,,,,,
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat D (Motorcycles),285,"$6,801",376,277,,,,,,,,,,,
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat C (Goods vehicles and buses),194,"$53,001",284,192,,,,,,,,,,,
April 2015 Second Open Bidding Exercise,22/04/2015,2015,Cat E (Open),176,"$79,500",331,163,,,,,,,,,,,
April 2015 First Open Bidding Exercise,08/04/2015,2015,Cat A (Cars up to 1600cc and 97kW),988,"$67,749","2,340",970,,,,,,,,,,,
April 2015 First Open Bidding Exercise,08/04/2015,2015,Cat B (Cars above 1600cc or 97kW),722,"$76,612","1,661",716,,,,,,,,,,,
April 2015 First Open Bidding Exercise,08/04/2015,2015,Cat D (Motorcycles),286,"$6,312",442,278,,,,,,,,,,,
April 2015 First Open Bidding Exercise,08/04/2015,2015,Cat C (Goods vehicles and buses),188,"$64,001",290,183,,,,,,,,,,,
April 2015 First Open Bidding Exercise,08/04/2015,2015,Cat E (Open),187,"$78,000",311,165,,,,,,,,,,,
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,"$64,700","2,251",987,,,,,,,,,,,
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat B (Cars above 1600cc or 97kW),723,"$71,889","1,354",717,,,,,,,,,,,
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat D (Motorcycles),286,"$5,610",385,286,,,,,,,,,,,
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat C (Goods vehicles and buses),184,"$59,999",345,175,,,,,,,,,,,
March 2015 Second Open Bidding Exercise,18/03/2015,2015,Cat E (Open),174,"$72,100",290,172,,,,,,,,,,,
March 2015 First Open Bidding Exercise,04/03/2015,2015,Cat A (Cars up to 1600cc and 97kW),987,"$61,410","2,120",986,,,,,,,,,,,
March 2015 First Open Bidding Exercise,04/03/2015,2015,Cat B (Cars above 1600cc or 97kW),723,"$68,668","1,239",723,,,,,,,,,,,
March 2015 First Open Bidding Exercise,04/03/2015,2015,Cat D (Motorcycles),289,"$5,501",343,288,,,,,,,,,,,
March 2015 First Open Bidding Exercise,04/03/2015,2015,Cat C (Goods vehicles and buses),186,"$56,501",315,183,,,,,,,,,,,
March 2015 First Open Bidding Exercise,04/03/2015,2015,Cat E (Open),175,"$70,500",322,162,,,,,,,,,,,
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat A (Cars up to 1600cc and 97kW),988,"$57,199","1,294",988,,,,,,,,,,,
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat B (Cars above 1600cc or 97kW),722,"$66,751","1,037",721,,,,,,,,,,,
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat D (Motorcycles),291,"$5,800",396,290,,,,,,,,,,,
February 2015 Second Open Bidding Exercise,17/02/2015,2015,Cat C (Goods vehicles and buses),185,"$53,202",333,185,,,,,,,,,,,
